No,Palabra clave,Volumen,CPC,Paid Difficulty,Dificultad SEO
1,car upholstery cleaning,6600,1.17,95,43
2,car carpet cleaning,22200,1.12,100,25
3,best ceramic coating near me,1300,8.61,71,15
4,mobile detailing service,6600,2.68,6,9
5,scratch removal car,6600,1.105,100,45
6,mobile interior car detailing,18100,2.885,78,34
7,car ceramic coating,49500,6.31,95,43
8,full car detail,1000,2.99,75,13
9,ceramic coating near me,33100,7.06,39,24
10,car waxing,60500,0.84,88,63
11,vehicle detailing near me,301000,2.63,75,22
12,car seat stain removal,2900,1.005,96,34
13,professional ceramic coating,2400,6.03,92,17
14,mobile car cleaning,880,4.07,60,13
15,car deep cleaning near me,1900,3.05,80,36
16,car smell removal,1300,1.2,100,34
17,auto interior cleaning,49500,2.36,55,29
18,automotive ceramic coating,49500,5.73,95,39
19,mobile auto detailing near me,33100,3.45,74,11
20,paint polishing,1900,1.555,87,45
21,car upholstery cleaning near me,880,2.74,70,23
22,engine detailing near me,880,2.81,84,8
23,mobile car detailing,33100,3.61,47,22
24,car interior cleaning,49500,1.85,96,48
25,ceramic paint protection,720,5.88,73,42
26,engine bay detailing,880,1.48,71,36
27,professional headlight restoration,590,1.75,100,26
28,car interior cleaning near me,8100,2.26,77,13
29,vehicle detailing,1900,3.25,28,67
30,car carpet cleaning near me,1000,2.13,73,26
31,mobile detailer near me,60500,3.2,64,43
32,professional auto detailing,1300,2.99,23,27
33,car shampoo service,2900,2.51,47,56
34,how much is ceramic coating,1600,4.71,35,16
35,ceramic coating cost,3600,7.06,43,12
36,car detailing services,110000,2.41,7,21
37,mobile car cleaning near me,1300,3.64,76,7
38,car detailing shop near me,301000,2.48,73,44
39,auto detailer near me,74000,3.23,57,45
40,complete car detailing,1000,2.77,73,7
41,full auto detailing,1000,2.77,73,27
42,car paint ceramic coating,1300,5.085,35,16
43,car odor removal,1300,1.34,97,20
44,car detailing exterior,4400,2.495,62,33
45,mobile detailing,27100,2.88,43,46
46,professional car interior cleaning,590,2.81,92,26
47,full detail car,1000,2.04,73,34
48,ceramic paint coating,1000,4.67,48,41
49,interior car detailing,18100,2.65,81,36
50,paint correction near me,12100,3.73,63,12
51,smoke smell removal car,1900,0.945,100,30
52,car detailing shop,5400,2.98,23,55
53,ceramic coating installer,1600,6.1,12,11
54,car detailing,110000,2.85,38,33
55,car polishing,18100,1.255,100,54
56,engine detailing,880,1.6,80,19
57,mold removal car,5400,12.92,93,20
58,car detailer near me,301000,3.44,73,56
59,car exterior cleaning,1000,1.15,62,34
60,car engine cleaning,1900,0.74,98,35
61,car seat cleaning,1600,1.56,91,24
62,car polish,14800,0.92,100,36
63,car headlight restoration,1000,0.82,89,35
64,mold cleaning car,5400,7.92,94,20
65,car interior detailing,14800,2.65,74,39
66,auto detailing near me,74000,2.45,62,40
67,ceramic coating service,1900,5.92,11,9
68,professional car detailing,4400,2.91,40,39
69,exterior car detailing near me,1000,3.1,43,21
70,car interior detailing near me,4400,2.53,81,13
71,mobile car detailing near me,33100,3.45,74,24
72,system x ceramic coating,2900,1.45,87,11
73,exterior auto detailing,4400,2.445,55,31
74,deep car cleaning,4400,2.315,61,33
75,exterior car detailing,3600,2.25,61,10
76,mobile auto detailing,33100,3.61,47,10
77,car detailing at home,1300,4.3,61,35
78,car paint protection,12100,6.42,57,25
79,headlight polishing,1600,0.47,96,47
80,auto detailing,49500,2.34,26,80
81,auto interior detailing,14800,2.65,74,12
82,paint restoration car,2900,1.735,92,41
83,car seat cleaning near me,2400,1.92,66,26
84,ceramic coating,60500,5.83,82,30
85,cigarette smell removal car,720,0.865,100,36
86,car detailing near me,301000,2.68,73,18
87,paint correction,12100,3.72,80,13
88,car steam cleaning,4400,0.7,100,18
89,deep clean car interior,1900,2.55,56,27
90,luxury car detailing,1300,2.06,28,12
91,headlight restoration near me,12100,2.255,52,24
92,engine bay cleaning near me,720,2.23,85,11
93,pet hair removal car,880,0.505,100,36
94,car detailing service,110000,3.36,7,29
95,mold removal car interior,720,4.19,97,20
96,interior detailing near me,5400,2.72,63,18
97,mobile detailing near me,60500,2.99,56,29
98,steam cleaning car interior,1900,1.04,100,19
99,auto detailing service,110000,3.415,6,44
100,premium car wash,1000,0.96,13,12
101,auto odor removal,1300,1.58,100,19
102,exterior detailing,3600,2.25,61,7
103,engine bay cleaning,6600,0.92,80,22
104,headlight restoration,33100,0.885,94,39
105,luxury auto detailing,1000,2.43,20,10
106,auto paint correction,5400,2.435,16,19
107,auto ceramic coating,49500,6.31,95,40
108,paint correction service,1300,3.35,13,6
109,car paint correction,6600,3,67,17
110,ceramic coating car,49500,6.31,95,38
111,ceramic coating for cars,49500,5.73,95,42
112,ceramic coating nj,140,8.28,34,10
113,ceramic coating price,1600,6.43,52,11
114,engine cleaning service,1300,2.63,56,14
115,auto detailing nj,1000,3,37,28
